,log_id,timestamp,vlan_id,department,device_type,protocol,bandwidth,packet_loss_percent,downtime_minutes,threat_flag,location
0,1,2026-01-18 07:48:00,VLan10,HR,Desktop,SMTP,161,4.1,13,NO,KUMASI
1,2,2026-04-11 00:22:00,VLan20,Finance,Desktop,SMTP,212,0.94,4,NO,TEMA
2,3,2026-03-24 06:28:00,VLan40,Sales,Server,HTTP,247,1.37,6,NO,Tamale
3,4,2026-02-02 06:33:00,VLan30,IT,Laptop,HTTPS,643,4.18,3,NO,ACCRA
4,5,2026-01-07 05:04:00,VLan40,Sales,Mobile,DNS,262,1.65,6,NO,TEMA
5,6,2026-03-10 19:29:00,VLan40,Sales,Router,FTP,320,3.46,5,NO,Tamale
6,7,2026-01-17 00:02:00,VLan30,IT,Desktop,DNS,1037,1.92,13,NO,ACCRA
7,8,2026-04-13 16:45:00,VLan30,IT,Mobile,HTTP,919,1.14,1,NO,ACCRA
8,9,2026-04-02 01:31:00,VLan20,Finance,Router,DNS,622,4.5,11,NO,KUMASI
9,10,2026-04-12 03:35:00,VLan40,Sales,Desktop,HTTP,423,3.68,14,NO,TAKORADI
10,11,2026-02-22 11:46:00,VLan30,IT,Server,DNS,554,1.55,15,NO,ACCRA
11,12,2026-03-23 02:40:00,VLan10,HR,Laptop,DNS,237,1.89,14,NO,ACCRA
12,13,2026-04-30 04:05:00,VLan30,IT,Laptop,SSH,693,1.24,4,NO,TAKORADI
13,14,2026-04-11 18:59:00,VLan40,Sales,Mobile,HTTPS,628,3.03,6,NO,TAKORADI
14,15,2026-01-18 19:24:00,VLan30,IT,Laptop,HTTPS,634,0.83,0,NO,TEMA
15,16,2026-02-12 11:16:00,VLan30,IT,Laptop,DNS,1064,1.06,3,NO,ACCRA
16,17,2026-04-27 13:15:00,VLan10,HR,Mobile,SMTP,635,3.67,11,NO,KUMASI
17,18,2026-04-05 05:02:00,VLan40,Sales,Desktop,SMTP,110,1.0,12,NO,Tamale
18,19,2026-04-11 05:13:00,VLan40,Sales,Mobile,HTTP,622,1.54,7,NO,ACCRA
19,20,2026-04-05 15:44:00,VLan20,Finance,Laptop,FTP,433,3.71,1,NO,ACCRA
20,21,2026-03-31 17:39:00,VLan30,IT,Laptop,HTTP,966,2.5,15,NO,TAKORADI
21,22,2026-04-19 01:28:00,VLan40,Sales,Laptop,HTTPS,545,0.42,2,NO,TAKORADI
22,23,2026-02-15 13:10:00,VLan40,Sales,Mobile,HTTP,307,1.45,12,NO,TEMA
23,24,2026-01-06 02:10:00,VLan10,HR,Server,FTP,339,0.25,15,NO,TAKORADI
24,25,2026-04-08 12:55:00,VLan10,HR,Desktop,HTTP,692,2.13,5,NO,TAKORADI
