Log_ID,Times,VLan_ID,Department,Device_Type,Protocol,Bandwidth,Packet_Loss_Percent,Downtime_Minutes,Threat_Flag,Location
1,2026-06-06 22:03:13,VLan40,Sales,Desktop,HTTP,581,4.88,8,NO,ACCRA
2,2026-01-24 23:16:05,VLan20,Finance,Laptop,HTTPS,658,1.55,9,NO,TAKORADI
3,2026-02-26 10:44:59,VLan40,Sales,Router,SSH,242,1.78,0,NO,KUMASI
4,2026-07-26 11:49:29,VLan40,Sales,Desktop,DNS,465,2.62,1,NO,KUMASI
5,2026-09-04 17:31:12,VLan40,Sales,Server,SMTP,179,4.02,13,NO,TAKORADI
6,2026-05-15 20:01:54,VLan40,Sales,Mobile,DNS,106,3.48,9,NO,KUMASI
7,2026-05-28 06:08:03,VLan10,HR,Laptop,FTP,591,4.56,5,NO,ACCRA
8,2026-05-13 07:15:43,VLan20,Finance,Laptop,SMTP,102,0.92,11,NO,ACCRA
9,2026-06-02 04:20:39,VLan10,HR,Laptop,FTP,610,4.46,7,NO,KUMASI
10,2026-09-24 08:22:08,VLan20,Finance,Router,SSH,320,2.72,5,NO,KUMASI
11,2026-02-03 15:53:53,VLan20,Finance,Mobile,SSH,592,0.51,9,NO,TEMA
12,2026-05-30 19:38:08,VLan20,Finance,Laptop,SSH,436,2.09,15,NO,TAKORADI
13,2026-08-17 12:56:34,VLan30,IT,Server,HTTPS,1143,4.44,3,NO,TEMA
14,2026-12-09 20:42:25,VLan20,Finance,Router,HTTPS,591,4.43,14,NO,ACCRA
15,2026-04-17 17:12:19,VLan30,IT,Router,HTTP,1022,2.08,3,NO,KUMASI
16,2026-08-23 18:31:22,VLan30,IT,Router,DNS,942,4.84,7,NO,ACCRA
17,2026-11-01 07:31:31,VLan10,HR,Mobile,HTTPS,603,1.59,11,NO,ACCRA
18,2026-08-16 02:19:18,VLan40,Sales,Desktop,HTTP,306,3.47,10,NO,KUMASI
19,2026-09-28 11:49:49,VLan10,HR,Mobile,SMTP,510,2.92,9,NO,TAKORADI
20,2026-05-17 17:22:56,VLan10,HR,Mobile,HTTPS,162,1.82,11,NO,TEMA
21,2026-01-08 22:29:21,VLan10,HR,Router,HTTPS,332,1.84,3,NO,Tamale
22,2026-07-23 07:46:59,VLan10,HR,Server,HTTPS,485,2.43,4,NO,TAKORADI
23,2026-04-24 09:59:16,VLan30,IT,Laptop,HTTP,816,3.41,15,NO,TEMA
24,2026-04-15 20:44:47,VLan20,Finance,Mobile,HTTP,483,3.88,5,NO,ACCRA
25,2026-03-14 21:28:36,VLan20,Finance,Laptop,HTTP,318,4.54,10,NO,ACCRA
26,2026-03-12 20:03:19,VLan10,HR,Router,FTP,166,0.1,13,NO,KUMASI
27,2026-10-10 07:33:06,VLan10,HR,Server,HTTP,321,0.9,0,NO,Tamale
28,2026-11-16 01:01:31,VLan10,HR,Server,SMTP,584,3.64,12,NO,KUMASI
29,2026-10-28 15:45:15,VLan30,IT,Router,FTP,1097,2.94,9,YES,KUMASI
30,2026-03-06 10:24:38,VLan30,IT,Desktop,HTTPS,553,2.82,1,NO,TEMA
31,2026-11-19 12:11:55,VLan20,Finance,Router,HTTP,530,2.34,11,NO,TAKORADI
32,2026-02-02 10:37:05,VLan10,HR,Desktop,DNS,367,1.18,15,NO,Tamale
33,2026-12-31 09:06:38,VLan30,IT,Router,HTTPS,839,0.51,13,NO,ACCRA
34,2026-04-23 23:22:08,VLan40,Sales,Mobile,SSH,167,2.09,10,NO,Tamale
35,2026-04-13 00:11:06,VLan20,Finance,Laptop,SSH,313,1.2,1,NO,KUMASI
36,2026-11-25 13:09:49,VLan20,Finance,Desktop,SSH,290,1.09,0,NO,ACCRA
37,2026-11-03 20:47:57,VLan40,Sales,Desktop,SSH,486,3.77,8,NO,ACCRA
38,2026-07-29 15:16:37,VLan40,Sales,Router,SSH,698,4.22,3,NO,Tamale
39,2026-04-28 03:44:03,VLan10,HR,Desktop,HTTPS,504,3.9,5,NO,TAKORADI
40,2026-07-16 18:41:03,VLan30,IT,Router,FTP,1189,2.68,10,YES,Tamale
41,2026-10-17 17:16:10,VLan20,Finance,Router,FTP,378,3.52,14,NO,TEMA
42,2026-05-26 19:55:04,VLan20,Finance,Desktop,HTTPS,401,2.38,14,NO,ACCRA
43,2026-04-05 05:15:43,VLan30,IT,Mobile,SMTP,887,3.21,1,NO,ACCRA
44,2026-05-16 08:45:31,VLan30,IT,Mobile,HTTP,754,2.4,6,NO,ACCRA
45,2026-08-16 20:58:46,VLan20,Finance,Router,HTTPS,631,0.78,4,NO,TEMA
46,2026-04-26 21:27:21,VLan20,Finance,Router,SSH,388,2.08,5,NO,TAKORADI
47,2026-07-26 12:31:17,VLan20,Finance,Mobile,HTTPS,667,1.72,2,NO,TEMA
48,2026-10-24 08:32:15,VLan10,HR,Router,SMTP,508,1.43,2,NO,ACCRA
49,2026-07-14 18:59:41,VLan30,IT,Router,SSH,993,1.75,12,YES,TAKORADI
50,2026-04-04 01:41:57,VLan10,HR,Laptop,SMTP,649,2.52,0,NO,TEMA
51,2026-03-22 16:55:09,VLan10,HR,Desktop,HTTP,236,4.07,0,NO,TEMA
52,2026-03-22 00:25:14,VLan40,Sales,Desktop,SMTP,259,1.51,6,NO,TEMA
53,2026-09-22 06:28:25,VLan20,Finance,Desktop,FTP,337,2.79,0,NO,TAKORADI
54,2026-10-18 15:37:12,VLan20,Finance,Laptop,SSH,574,1.88,13,NO,Tamale
55,2026-11-05 20:31:51,VLan20,Finance,Router,SSH,642,2.11,4,NO,TEMA
56,2026-07-16 03:01:19,VLan20,Finance,Laptop,DNS,387,3.27,10,NO,TEMA
57,2026-01-24 01:08:29,VLan30,IT,Router,SMTP,792,1.77,0,NO,TAKORADI
58,2026-10-16 06:17:30,VLan40,Sales,Laptop,HTTPS,202,4.4,9,NO,TEMA
59,2026-11-25 08:09:05,VLan20,Finance,Desktop,FTP,646,1.41,13,NO,Tamale
60,2026-12-23 16:18:40,VLan10,HR,Router,HTTP,289,2.74,9,NO,ACCRA
61,2026-03-08 07:46:38,VLan40,Sales,Laptop,FTP,265,2.36,11,NO,Tamale
62,2026-07-29 06:56:38,VLan40,Sales,Server,HTTPS,328,2.6,0,NO,Tamale
63,2026-04-08 09:57:57,VLan40,Sales,Server,SSH,243,2.82,12,NO,TAKORADI
